Index,Date,ClockTime,RawTime,TraceSampID,BB1:INT,BB2:INT,BB3:INT,BB4:INT,BB5:INT,BB6:INT,BB7:INT,BB8:INT,BP1:LREAL,BP2:LREAL,BB13:INT
129,1970-01-01,11:47:45.08,42465079774130,,770,760,770,770,770,760,760,760,0,"4,891302",103
130,1970-01-01,11:47:45.18,42465179752700,,770,760,770,770,770,760,770,760,0,"4,891302",103
131,1970-01-01,11:47:45.28,42465279761965,,770,760,770,770,770,760,760,760,0,"4,891302",103
132,1970-01-01,11:47:45.38,42465379704560,,770,760,770,770,770,760,770,760,0,"4,891302",103
133,1970-01-01,11:47:45.48,42465479709230,,770,760,770,770,770,760,770,760,0,"4,891302",103
134,1970-01-01,11:47:45.58,42465579712145,,770,760,770,770,770,760,770,760,0,"4,891302",102
135,1970-01-01,11:47:45.68,42465679718550,,770,770,770,770,770,760,770,760,0,"4,891302",103
136,1970-01-01,11:47:45.78,42465779718200,,770,760,770,770,770,760,770,760,0,"4,891302",103
137,1970-01-01,11:47:45.88,42465879753270,,770,770,770,770,770,760,770,760,0,"4,891302",103
138,1970-01-01,11:47:45.98,42465979766565,,770,760,770,770,770,760,760,760,0,"4,891302",103
139,1970-01-01,11:47:46.08,42466079744280,,770,760,770,770,770,760,770,760,0,"4,891302",104
140,1970-01-01,11:47:46.18,42466179780645,,770,760,770,770,770,760,770,760,0,"4,891302",103
141,1970-01-01,11:47:46.28,42466279736625,,770,760,770,770,770,760,760,760,0,"4,891302",103
142,1970-01-01,11:47:46.38,42466379769090,,770,760,770,770,770,760,760,760,0,"4,891302",103
143,1970-01-01,11:47:46.48,42466479741850,,770,760,770,770,770,760,760,760,0,"4,891302",102
144,1970-01-01,11:47:46.58,42466579769310,,770,760,770,770,770,760,770,760,0,"4,891302",103
145,1970-01-01,11:47:46.68,42466679808755,,770,760,770,770,770,760,760,760,0,"4,891302",103
146,1970-01-01,11:47:46.78,42466779734705,,770,760,770,770,770,760,770,760,0,"4,891302",103
147,1970-01-01,11:47:46.88,42466879798910,,770,770,770,770,770,760,770,760,0,"4,891302",103
148,1970-01-01,11:47:46.98,42466979734800,,770,760,770,770,770,760,770,760,0,"4,891302",104
149,1970-01-01,11:47:47.08,42467079731950,,770,760,770,770,770,760,770,760,0,"4,891302",103
150,1970-01-01,11:47:47.18,42467179732700,,770,760,770,770,770,760,770,760,0,"4,891302",104
